reviewText,productName,rating
"I absolutely love this laptop! The battery life is amazing and it's so fast.",Laptop Pro X,5
"Terrible quality. The screen stopped working after 2 days. Very disappointed.",Laptop Pro X,1
"Good value for money. Not perfect but works fine for basic tasks.",Laptop Pro X,3
"This is the best phone I've ever owned! Camera is incredible.",SmartPhone Ultra,5
"Battery drains too fast. Doesn't last even half a day.",SmartPhone Ultra,2
"Decent phone for the price. Nothing special but gets the job done.",SmartPhone Ultra,3
"Absolutely love these headphones! So comfortable and sound is amazing.",Wireless Buds,5
"Complete waste of money. Broke after one week. Very angry.",Wireless Buds,1
"Pretty good headphones. Battery lasts long and connection is stable.",Wireless Buds,4
"This keyboard is perfect for gaming. Love the RGB lights!",Mech Keyboard,5
"Keys are too stiff. Hurts my fingers to type.",Mech Keyboard,2
"Good keyboard but a bit noisy. Overall satisfied.",Mech Keyboard,4
"The mouse is fantastic! Very responsive and comfortable.",Gaming Mouse,5
"Stopped working after a month. Worst purchase ever.",Gaming Mouse,1
"Decent mouse for casual gaming. Works fine.",Gaming Mouse,3
"I'm so happy with this monitor! Colors are so vibrant.",UltraMonitor,5
"Screen has dead pixels right out of the box. Very sad.",UltraMonitor,1
"Good monitor but price is a bit high. Still recommend.",UltraMonitor,4
"This tablet changed my life! Perfect for work and entertainment.",SuperTab,5
"Tablet is slow and lags a lot. Regret buying this.",SuperTab,2
"Works fine for reading and browsing. Good value.",SuperTab,3
"I'm furious! The charger stopped working after 3 days.",SuperTab,1
"Love love love this smartwatch! Best gift ever.",SmartWatch,5
"The strap is uncomfortable and screen is hard to read.",SmartWatch,2
"Pretty good smartwatch. Does everything I need.",SmartWatch,4
"This speaker is incredible! Such clear sound and deep bass.",Bluetooth Speaker,5
"Speaker keeps disconnecting from my phone. Very frustrating.",Bluetooth Speaker,2
"Decent speaker for the price. Not amazing but okay.",Bluetooth Speaker,3
"I'm so excited about this charger! Charges super fast.",Fast Charger,5
"Charger overheats and almost caught fire. Dangerous!",Fast Charger,1
"Works as expected. Nothing special but does the job.",Fast Charger,3
"Best purchase of the year! This SSD made my computer so fast.",SSD Drive,5
"Drive failed after 2 weeks. Lost all my data. Horrible.",SSD Drive,1
"Good drive but installation was tricky. Works fine now.",SSD Drive,4
"The webcam quality is amazing! My Zoom calls look great.",HD Webcam,5
"Webcam stopped working after one use. Very disappointed.",HD Webcam,1
"Decent webcam but microphone is quiet. Acceptable for price.",HD Webcam,3
"I'm obsessed with this backpack! So many pockets and durable.",Laptop Backpack,5
"Zipper broke on day one. Cheap quality. Very angry.",Laptop Backpack,1
"Good backpack but a bit small. Still recommend for students.",Laptop Backpack,4
"This mouse pad is perfect for gaming! Smooth and large.",Gaming Pad,5
"Mouse pad arrived with stains. Disgusting and unacceptable.",Gaming Pad,1
"Works fine. Nothing special about it.",Gaming Pad,3
"The cooling fan is a lifesaver! My laptop doesn't overheat anymore.",Cooling Pad,5
"Fan is extremely loud and doesn't cool well. Waste of money.",Cooling Pad,1
"Good cooling pad but USB port is loose. Still works.",Cooling Pad,4
"This USB hub is fantastic! So many ports and works perfectly.",USB Hub,5
"Hub stopped working after a week. Very unreliable.",USB Hub,1
"Decent hub but a bit expensive for what it offers.",USB Hub,3
"Best desk lamp ever! Adjustable brightness and eye protection.",Desk Lamp,5
"The lamp flickers constantly and gives me headaches.",Desk Lamp,1
"Good lamp but the touch controls are a bit sensitive.",Desk Lamp,4
